genres,movie_title,movie_id,movie_imdb_link,imdb_score
Comedy,Fukrey Returns,tt6712014,https://www.imdb.com/title/tt6712014/?ref_=fn_tt_tt_1,6.5
Action|Crime|Drama,Ek Villain,tt3175038,https://www.imdb.com/title/tt3175038/?ref_=fn_tt_tt_1,6.6
Action|Comedy|Crime,Kick,tt2372222,https://www.imdb.com/title/tt2372222/?ref_=fn_tt_tt_1,6
Action|Crime|Drama,Shaitan,tt1836912,https://www.imdb.com/title/tt1836912/?ref_=fn_tt_tt_1,7.2
Comedy|Drama|Family,Raksha Bandhan,tt12834962,https://www.imdb.com/title/tt12834962/?ref_=fn_tt_tt_1,5.3
Action|Sci-Fi|Thriller,2,tt5080556,https://www.imdb.com/title/tt5080556/?ref_=fn_tt_tt_1,6
Crime|Drama|Mystery,Cuttputlli,tt15315164,https://www.imdb.com/title/tt15315164/?ref_=fn_tt_tt_1,5.7
Comedy|Drama|Music,Kabhi Haan Kabhi Naa,tt0110222,https://www.imdb.com/title/tt0110222/?ref_=fn_tt_tt_1,7.6
Comedy|Drama|Romance,Pyaar Ka Punchnama,tt1926313,https://www.imdb.com/title/tt1926313/?ref_=fn_tt_tt_1,7.6
Comedy|Drama,Billu,tt1230448,https://www.imdb.com/title/tt1230448/?ref_=fn_tt_tt_1,6.4
Comedy|Drama|Romance,Jaane Tu... Ya Jaane Na,tt0473367,https://www.imdb.com/title/tt0473367/?ref_=fn_tt_tt_1,7.4
Comedy|Drama|Romance,Dil Bechara,tt8110330,https://www.imdb.com/title/tt8110330/?ref_=fn_tt_tt_1,8.3
Action|Comedy|Crime,Hera Pheri,tt0242519,https://www.imdb.com/title/tt0242519/?ref_=fn_tt_tt_1,8.2
Comedy|Horror|Mystery,Bhool Bhulaiyaa,tt0995031,https://www.imdb.com/title/tt0995031/?ref_=fn_tt_tt_1,7.4
Drama|Music|Musical,Aashiqui 2,tt2203308,https://www.imdb.com/title/tt2203308/?ref_=fn_tt_tt_1,7.1
Action|Crime|Drama,Kurbaan,tt1185442,https://www.imdb.com/title/tt1185442/?ref_=fn_tt_tt_1,5.7
Crime|Romance|Thriller,Zid,tt4228746,https://www.imdb.com/title/tt4228746/?ref_=fn_tt_tt_1,4.5
Drama|Romance,Ajeeb Daastaans,tt14091818,https://www.imdb.com/title/tt14091818/?ref_=fn_tt_tt_1,6.7
Action|Crime|Drama,Simmba,tt7212726,https://www.imdb.com/title/tt7212726/?ref_=fn_tt_tt_1,5.5
Action|Comedy|Crime,Dabangg,tt1620719,https://www.imdb.com/title/tt1620719/?ref_=fn_tt_tt_1,6.2
Action|Drama,Waltair Veerayya,tt15281402,https://www.imdb.com/title/tt15281402/?ref_=fn_tt_tt_1,6.2
Comedy|Drama|Family,Jogira Sara Ra Ra,tt12862042,https://www.imdb.com/title/tt12862042/?ref_=fn_tt_tt_1,6.9
Action|Comedy,Checkmate,tt28362963,https://www.imdb.com/title/tt28362963/?ref_=fn_tt_tt_1,7.9
Action|Adventure|Sci-Fi,Krrish,tt0432637,https://www.imdb.com/title/tt0432637/?ref_=fn_tt_tt_1,6.4
Action|Comedy|Crime,Baadshah,tt0211934,https://www.imdb.com/title/tt0211934/?ref_=fn_tt_tt_1,6.8
Drama,Udaan,tt1639426,https://www.imdb.com/title/tt1639426/?ref_=fn_tt_tt_1,8.1
Drama,Water,tt0240200,https://www.imdb.com/title/tt0240200/?ref_=fn_tt_tt_1,7.7
Drama|Romance,Guzaarish,tt1438298,https://www.imdb.com/title/tt1438298/?ref_=fn_tt_tt_1,7.4
Action|Drama|Romance,Koi... Mil Gaya,tt0254481,https://www.imdb.com/title/tt0254481/?ref_=fn_tt_tt_1,7.1
Comedy|Drama|Musical,Dil To Pagal Hai,tt0118983,https://www.imdb.com/title/tt0118983/?ref_=fn_tt_tt_1,7
Adventure|Drama|Thriller,Table No. 21,tt2229842,https://www.imdb.com/title/tt2229842/?ref_=fn_tt_tt_1,7.2
Drama|Mystery|Thriller,Murder 3,tt2429640,https://www.imdb.com/title/tt2429640/?ref_=fn_tt_tt_1,5
Action|Thriller,Taish,tt10840884,https://www.imdb.com/title/tt10840884/?ref_=fn_tt_tt_1,7.3
Drama|Music,Secret Superstar,tt6108090,https://www.imdb.com/title/tt6108090/?ref_=fn_tt_tt_1,7.8
