genres,movie_title,movie_id,movie_imdb_link
Biography|Drama|History,Mangal Pandey: The Rising,tt0346457,https://www.imdb.com/title/tt0346457/?ref_=fn_tt_tt_1
Drama,The Journey of Karma,tt9070934,https://www.imdb.com/title/tt9070934/?ref_=fn_tt_tt_1
Horror|Mystery|Romance,Raaz Reboot,tt5639388,https://www.imdb.com/title/tt5639388/?ref_=fn_tt_tt_1
Comedy|Drama,Dhanak,tt4088588,https://www.imdb.com/title/tt4088588/?ref_=fn_tt_tt_1
Animation|Action|Adventure,Bhoot and Friends,tt1807978,https://www.imdb.com/title/tt1807978/?ref_=fn_tt_tt_1
Comedy|Drama,Saajan Chale Sasural,tt0246905,https://www.imdb.com/title/tt0246905/?ref_=fn_tt_tt_1
Horror|Mystery,Sssshhh...,tt0352830,https://www.imdb.com/title/tt0352830/?ref_=fn_tt_tt_1
Action|Drama,Haathi Mere Saathi,tt14852412,https://www.imdb.com/title/tt14852412/?ref_=fn_tt_tt_1
Comedy,The Shaukeens,tt3848888,https://www.imdb.com/title/tt3848888/?ref_=fn_tt_tt_1
Drama|Family|Musical,Kati Patang,tt0065936,https://www.imdb.com/title/tt0065936/?ref_=fn_tt_tt_1
Thriller,Ulajh,tt19838634,https://www.imdb.com/title/tt19838634/?ref_=fn_tt_tt_1
Comedy|Drama|Family,I Am Kalam,tt1805263,https://www.imdb.com/title/tt1805263/?ref_=fn_tt_tt_1
Drama|Musical|Romance,Hum Dono,tt0225961,https://www.imdb.com/title/tt0225961/?ref_=fn_tt_tt_1
Crime|Drama|Romance,Jannat: In Search of Heaven...,tt1216300,https://www.imdb.com/title/tt1216300/?ref_=fn_tt_tt_1
Action|Romance,Jeet,tt0116690,https://www.imdb.com/title/tt0116690/?ref_=fn_tt_tt_1
Action|Comedy|Drama,Mard,tt0089552,https://www.imdb.com/title/tt0089552/?ref_=fn_tt_tt_1
Drama|Romance,Half Girlfriend,tt5474042,https://www.imdb.com/title/tt5474042/?ref_=fn_tt_tt_1
Drama|Romance,Jalebi,tt8426854,https://www.imdb.com/title/tt8426854/?ref_=fn_tt_tt_1
Action|Crime|Thriller,Thupparivaalan,tt7190460,https://www.imdb.com/title/tt7190460/?ref_=fn_tt_tt_1
Drama,Pyar Ka Karz,tt0155073,https://www.imdb.com/title/tt0155073/?ref_=fn_tt_tt_1
